v1

TYPE GEM
 name Opal
 resources 30
 hardCore 80
 colorHasRes 46
 colorHasNoRes 50
 oreIsBack 70
 plantAdminOnly 1
 chance 70
//chance 50 means that this gem has 50% chance of not being selected as the gem in an ore.

TYPE GEM
 name Topaz
 resources 30
 hardCore 80
 colorHasRes 21
 colorHasNoRes 50
 oreIsBack 70
 plantAdminOnly 1
 chance 75

TYPE GEM
 name Ruby
 resources 30
 hardCore 80
 colorHasRes 18
 colorHasNoRes 50
 oreIsBack 70
 plantAdminOnly 1
 chance 80

TYPE GEM
 name Emerald
 resources 30
 hardCore 80
 colorHasRes 22
 colorHasNoRes 50
 oreIsBack 70
 plantAdminOnly 1
 chance 85

TYPE GEM
 name Sapphire
 resources 50
 hardCore 90
 colorHasRes 25
 colorHasNoRes 50
 reSpawn 90
 plantAdminOnly 1
 chance 90

TYPE GEM
 name Diamond
 resources 100
 hardCore 95
 colorHasRes 17
 colorHasNoRes 50
 reSpawn 180
 plantAdminOnly 1
 chance 95
